empresa,uds_id,hsstart,hsstop,datai,dataf,sentido,linha,carro,qtpsg,valor_jornada,nao_sei
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,4,16,
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,3,12,
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220539,08:00:46,09:01:54,01/01/2024,01/01/2024,0,1702,20110,6,25,5.0
1,6220539,08:00:46,09:01:54,01/01/2024,01/01/2024,0,1702,20110,7,0,
1,6220539,08:00:46,09:01:54,01/01/2024,01/01/2024,0,1702,20110,3,12,
1,6220539,09:16:23,10:02:03,01/01/2024,01/01/2024,1,1702,20110,12,0,
1,6220539,09:16:23,10:02:03,01/01/2024,01/01/2024,1,1702,20110,2,8,5.0
1,6220539,09:16:23,10:02:03,01/01/2024,01/01/2024,1,1702,20110,1,4,
1,6220539,10:02:06,10:58:46,01/01/2024,01/01/2024,0,1702,20110,6,0,
1,6220539,10:02:06,10:58:46,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220539,10:02:06,10:58:46,01/01/2024,01/01/2024,0,1702,20110,1,4,25.0
1,6220539,10:02:06,10:58:46,01/01/2024,01/01/2024,0,1702,20110,1,4,
1,6220539,10:02:06,10:58:46,01/01/2024,01/01/2024,0,1702,20110,2,8,
1,6220539,10:58:51,11:44:31,01/01/2024,01/01/2024,1,1702,20110,2,0,
1,6220539,10:58:51,11:44:31,01/01/2024,01/01/2024,1,1702,20110,4,17,
1,6220539,10:58:51,11:44:31,01/01/2024,01/01/2024,1,1702,20110,2,8,
1,6220539,11:45:04,12:19:32,01/01/2024,01/01/2024,0,1702,20110,1,4,25.0
1,6220539,11:45:04,12:19:32,01/01/2024,01/01/2024,0,1702,20110,2,0,
1,6220539,11:45:04,12:19:32,01/01/2024,01/01/2024,0,1702,20110,1,4,
1,6220565,12:22:05,12:54:55,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220565,12:22:05,12:54:55,01/01/2024,01/01/2024,0,1702,20110,3,12,75.0
1,6220565,13:02:59,13:49:55,01/01/2024,01/01/2024,1,1702,20110,5,0,
1,6220565,13:02:59,13:49:55,01/01/2024,01/01/2024,1,1702,20110,1,4,25.0
1,6220565,13:02:59,13:49:55,01/01/2024,01/01/2024,1,1702,20110,4,16,
1,6220565,13:02:59,13:49:55,01/01/2024,01/01/2024,1,1702,20110,2,8,
1,6220565,13:52:07,15:00:10,01/01/2024,01/01/2024,0,1702,20110,5,20,
1,6220565,13:52:07,15:00:10,01/01/2024,01/01/2024,0,1702,20110,4,0,
1,6220565,13:52:07,15:00:10,01/01/2024,01/01/2024,0,1702,20110,7,29,75.0
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,4,16,
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,2,0,
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,6,25,5.0
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,1,4,
1,6220565,15:03:47,15:47:09,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,15:47:13,16:47:23,01/01/2024,01/01/2024,0,1702,20110,1,4,
1,6220565,15:47:13,16:47:23,01/01/2024,01/01/2024,0,1702,20110,2,0,
1,6220565,15:47:13,16:47:23,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220565,15:47:13,16:47:23,01/01/2024,01/01/2024,0,1702,20110,1,4,25.0
1,6220565,16:53:51,17:40:25,01/01/2024,01/01/2024,1,1702,20110,5,20,
1,6220565,16:53:51,17:40:25,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,16:53:51,17:40:25,01/01/2024,01/01/2024,1,1702,20110,4,17,
1,6220565,16:53:51,17:40:25,01/01/2024,01/01/2024,1,1702,20110,6,0,
1,6220565,17:41:48,18:54:40,01/01/2024,01/01/2024,0,1702,20110,4,17,
1,6220565,17:41:48,18:54:40,01/01/2024,01/01/2024,0,1702,20110,11,44,
1,6220565,17:41:48,18:54:40,01/01/2024,01/01/2024,0,1702,20110,4,16,
1,6220565,17:41:48,18:54:40,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220565,17:41:48,18:54:40,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220565,18:54:44,19:44:06,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,18:54:44,19:44:06,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,18:54:44,19:44:06,01/01/2024,01/01/2024,1,1702,20110,8,32,
1,6220565,18:54:44,19:44:06,01/01/2024,01/01/2024,1,1702,20110,4,17,
1,6220565,18:54:44,19:44:06,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220565,19:44:09,20:46:45,01/01/2024,01/01/2024,0,1702,20110,2,8,
1,6220565,19:44:09,20:46:45,01/01/2024,01/01/2024,0,1702,20110,3,12,75.0
