,Longitude,Latitude
320,-43.844241,-16.688854
321,-43.845503,-16.689412
322,-43.845587,-16.689512
323,-43.847124,-16.686493
324,-43.847218,-16.686539
325,-43.845525,-16.685725
326,-43.845563,-16.685653
327,-43.840993,-16.681551
328,-43.840977,-16.681054
330,-43.848099,-16.684953
331,-43.848056,-16.681256
332,-43.844364,-16.691711
333,-43.843842,-16.692666
334,-43.843721,-16.692566
335,-43.842447,-16.695514
336,-43.842456,-16.695569
337,-43.844178,-16.696093
338,-43.844253,-16.696094
339,-43.845574,-16.694745
340,-43.84564,-16.694728
341,-43.844919,-16.692934
342,-43.844853,-16.693006
343,-43.846536,-16.693919
344,-43.846517,-16.693982
345,-43.84821,-16.694715
346,-43.848181,-16.694805
347,-43.850821,-16.69557
348,-43.850622,-16.695867
349,-43.854085,-16.697116
350,-43.853513,-16.697004
351,-43.85368,-16.698966
352,-43.853005,-16.700472
353,-43.852895,-16.701655
354,-43.853182,-16.702208
355,-43.853886,-16.703767
356,-43.85382,-16.703757
357,-43.854648,-16.706546
359,-43.856007,-16.711389
360,-43.857107,-16.712506
361,-43.85814,-16.713768
362,-43.857982,-16.713596
363,-43.857106,-16.712633
364,-43.855997,-16.711479
365,-43.853944,-16.70816
366,-43.85397,-16.706858
367,-43.853986,-16.705828
368,-43.852558,-16.699882
369,-43.852892,-16.698899
370,-43.852322,-16.696988
371,-43.852228,-16.697033
372,-43.851337,-16.698646
373,-43.851262,-16.698636
374,-43.849353,-16.699557
375,-43.849221,-16.69971
376,-43.848247,-16.700979
377,-43.848172,-16.701051
378,-43.848999,-16.702284
379,-43.848933,-16.702347
380,-43.85036,-16.705148
381,-43.850257,-16.705147
382,-43.850485,-16.706342
383,-43.850391,-16.706377
384,-43.851162,-16.707593
385,-43.851152,-16.70762
386,-43.852869,-16.707548
387,-43.852869,-16.707593
389,-43.853264,-16.708987
392,-43.851291,-16.712601
393,-43.849174,-16.712155
394,-43.849168,-16.71474
395,-43.849158,-16.716457
396,-43.849007,-16.714983
397,-43.849982,-16.715043
398,-43.847197,-16.714964
399,-43.845186,-16.714103
400,-43.845158,-16.71404
401,-43.843408,-16.708788
402,-43.843436,-16.708725
403,-43.842459,-16.707427
404,-43.842534,-16.707436
405,-43.843252,-16.706591
406,-43.843261,-16.706636
407,-43.844814,-16.70734
408,-43.844832,-16.707413
409,-43.84645,-16.70819
410,-43.846431,-16.708235
411,-43.843637,-16.709612
412,-43.843533,-16.709819
413,-43.84623,-16.710485
414,-43.846154,-16.710692
418,-43.854489,-16.714291
419,-43.854348,-16.714326
422,-43.858124,-16.716561
427,-43.852842,-16.718258
429,-43.849161,-16.717542
430,-43.848802,-16.717901
431,-43.845229,-16.717918
432,-43.845464,-16.717819
434,-43.844669,-16.723581
435,-43.844971,-16.726511
436,-43.846272,-16.733162
437,-43.846147,-16.733667
442,-43.846391,-16.741351
444,-43.849043,-16.741827
445,-43.846868,-16.730707
451,-43.852953,-16.726393
452,-43.852954,-16.72633
453,-43.850577,-16.725431
454,-43.850717,-16.725432
455,-43.85008,-16.723865
456,-43.850108,-16.723829
457,-43.848927,-16.723641
458,-43.848937,-16.723596
459,-43.846454,-16.723194
460,-43.84652,-16.723149
461,-43.845451,-16.724544
462,-43.845395,-16.724516
463,-43.849984,-16.728862
464,-43.847189,-16.728783
465,-43.848216,-16.728003
466,-43.848245,-16.727958
467,-43.847837,-16.72556
468,-43.847941,-16.725507
469,-43.846232,-16.727323
470,-43.845857,-16.727212
471,-43.845876,-16.725703
472,-43.845955,-16.725026
473,-43.851516,-16.734565
474,-43.851441,-16.734565
475,-43.851494,-16.736716
476,-43.851428,-16.736716
477,-43.851467,-16.738017
478,-43.85142,-16.738026
479,-43.851449,-16.739527
480,-43.851393,-16.739472
481,-43.852181,-16.740977
482,-43.851053,-16.741422
483,-43.851458,-16.741072
484,-43.850904,-16.739641
485,-43.849451,-16.739524
486,-43.849328,-16.738213
487,-43.849308,-16.736758
488,-43.849283,-16.73476
489,-43.84801,-16.732665
490,-43.849948,-16.731781
491,-43.848599,-16.740839
492,-43.848655,-16.740831
493,-43.847756,-16.740527
494,-43.847513,-16.740463
495,-43.847628,-16.738565
496,-43.849156,-16.735465
497,-43.849184,-16.735519
498,-43.851401,-16.735016
499,-43.85172,-16.735018
500,-43.853868,-16.738157
501,-43.854059,-16.73598
502,-43.85443,-16.73516
503,-43.854355,-16.735195
504,-43.856511,-16.735343
